site_id,site_name,feed_id,notification_enabled,feed_type,feed_url,catalog_id,catalog_status,catalog_created_date,last_run,catalog_connector_status,total,successful,failed,active_prod,arch_prod,manual_file_count,api_count,automated_ftp_count,automated_http_count,manual_ftp_count,manual_http_count
35653,summit,118,true,delimited,ftp://vendors3.summitracing.com,519,active,2015-09-02 17:04:25,2017-11-03 08:00:02,disabled,766,746,20,1709453,195463,0,0,757,0,8,0
38193,sheetmusicplus,848,true,delimited,null,4649,active,2017-04-11 23:34:28,2017-10-04 21:07:38,disabled,10,8,2,1233601,965421,10,0,0,0,0,0
37111,sustainablesupply,492,true,delimited,null,3728,active,2016-07-27 16:31:01,2016-11-03 18:05:44,disabled,11,7,4,686401,5256,11,0,0,0,0,0
28366,greatbigcanvas,401,true,delimited,https://cpe-nc1-vault1.s3.amazonaws.com/marketplace-feeds-prod/gbc/public/bronto-product-data-feed.zip,1845,active,2016-03-14 20:34:22,2017-11-03 07:00:02,disabled,293,288,5,678068,1268406,4,0,0,273,0,15
34777,musicshopeurope,63,true,delimited,http://webadapters.channeladvisor.com/CSEAdapter/Default.aspx?pid=TZP%60_G%5dPAlGxqcW%2f%22%5b5K.%25QjDxs_%26%5d%244%5bF%5e%27%26%3bBGt9%5b%5cUKby1%25*%3aCG%3dk%26%5eP%5bbJ%5eTQouIH_S%2bV%602KbW(gvw,112,active,2015-07-09 21:00:39,2017-11-03 10:00:01,disabled,740,472,268,672372,179,12,0,0,694,0,32
34778,hlmgbdealers,241,true,delimited,http://webadapters.channeladvisor.com/CSEAdapter/Default.aspx?pid=TZP%60_G%5dPAlGxqcW%2f%22%5b5K.%25QjDxs_%26%5d%244%5bF%5e%27%26%3bBGt9%5b%5cUKby1%25*%3aCG%3dk%26%5eP%5bbJ%5eTQouIH_S%2bV%602KbW(gvw,974,active,2015-11-12 15:51:58,2017-11-02 23:00:02,disabled,635,391,244,671614,9,0,0,0,620,0,15
30322,chalktalksports,415,true,delimited,null,271,active,2015-08-11 20:28:51,2016-09-15 22:40:17,disabled,11,2,9,576715,1,10,0,0,0,1,0
34367,musicmagpiestore,728,false,xml,ftp://77.239.96.240,1034,active,2015-11-23 15:30:39,2017-11-03 13:00:02,disabled,245,236,9,525568,623,7,0,234,0,4,0
16590,andragroup,78,true,delimited,http://webadapters.channeladvisor.com/CSEAdapter/Default.aspx?pid=TZP_gH%5eWA8A%7bscT%60P%5baL%5d%22QjuLq_%5b.%223%5bF.YVfEKC6U%5eVKfu%2f%23Y8vE%3de%5b%2c%24%5bbu1%27Q9BzH_%27-Q_bx3%27(kIE,251,active,2015-08-10 14:55:56,2017-11-03 09:00:02,disabled,854,845,9,498228,7367,0,0,0,815,0,38
29987,coverstore,763,false,delimited,null,828,active,2015-10-20 18:40:55,2017-11-03 07:51:38,disabled,237,188,49,385872,24692,40,197,0,0,0,0
34987,bygghemma,240,false,xml,http://www.bygghemma.se/brontoproducts_bgh.xml.gz,1248,active,2016-01-20 14:27:22,2017-11-03 10:00:01,disabled,632,581,51,339367,39898,7,0,0,620,0,4
32931,koorong,829,true,xml,null,246,active,2015-08-10 00:34:22,2017-07-11 03:26:16,disabled,10,8,2,294824,886,10,0,0,0,0,0
34660,eurocarparts,351,true,delimited,null,153,active,2015-08-04 09:25:29,2016-04-28 16:29:45,disabled,2,1,1,281544,0,2,0,0,0,0,0
36378,spoonflowerinc,871,true,delimited,http://webadapters.channeladvisor.com/CSEAdapter/Default.aspx?pid=TZPa%60EaUA8vxFh)%2fS%5bgC1%25QjBwF_%5c%5c%24%60%5bC%5e%22X9EwreZ%5bXK,1242,active,2016-01-19 17:17:08,2017-11-03 05:00:04,disabled,162,156,6,230738,64530,0,0,0,157,0,5
14114,ecampus,24,false,delimited,http://www.bookwinner.com/gmc/gmc.txt,53,active,2015-06-08 16:26:54,2017-11-03 08:00:02,disabled,880,877,3,207506,265439,0,0,0,878,0,1
36742,comark_sandbox,603,true,delimited,null,3439,active,2016-05-17 16:51:41,2017-01-29 17:00:01,disabled,24,3,21,204087,0,11,0,12,0,1,0
36745,bootlegger,708,true,delimited,ftps://ftp.bronto.com:4021,3779,active,2016-08-09 17:45:22,2017-11-03 06:00:02,disabled,293,282,11,196202,69,2,0,280,0,10,0
37113,ccs,1173,false,xml,https://shop.ccs.com/media/wysiwyg/bronto_product_feed.xml,3735,active,2016-07-28 16:01:00,2017-11-03 11:00:02,disabled,14,3,11,182775,0,3,0,0,9,0,2
38013,pgatoursuperstore,750,false,delimited,ftps://ftp.bronto.com:4021,4495,active,2017-02-28 21:36:54,2017-11-03 07:00:02,disabled,228,223,5,178681,57951,11,0,205,0,11,0
38059,ecklerindustriesinc,919,true,delimited,null,4537,active,2017-03-10 20:45:09,2017-06-21 10:54:17,disabled,5,2,3,169021,0,5,0,0,0,0,0
31684,colamcoinc,84,true,delimited,https://www.colamco.com/feed/bronto/brontofeed.txt,136,active,2015-07-30 17:39:59,2017-11-03 12:00:02,disabled,831,386,445,166678,41411,19,0,427,380,1,4
36743,rickis,701,true,delimited,ftps://ftp.bronto.com:4021,3454,active,2016-05-20 15:02:28,2017-11-03 03:00:01,disabled,299,282,17,166574,0,1,0,287,0,9,0
33738,wwbw,12,true,delimited,http://webadapters.channeladvisor.com/CSEAdapter/Default.aspx?pid=TZPa%5eEaRA8vxFh)%2fS%5bgC1%25QjBwF_%5c%5c%24%60%5bC%5e%22X9EwreZ%5bXK_C0X(gtz%3dh%25_Y%5bbxdTQnIMI_U%2fQ50wdR)jCE,19,active,2015-03-31 14:22:18,2017-11-03 08:00:01,disabled,902,867,35,164296,173157,0,0,0,898,0,3
11955,dungarees,91,true,xml,http://dungarees.net/apps/feeds/dungarees_bronto.xml,10,active,2015-03-25 17:26:15,2017-11-03 09:00:02,disabled,834,816,18,156531,0,4,0,0,806,0,23
36440,magasindunord,330,false,delimited,ftp://ftp.Magasin.dk,1312,active,2016-02-03 13:54:03,2017-11-03 10:00:02,disabled,504,500,4,149051,191445,3,0,491,0,9,0
29875,capitollighting,302,true,delimited,http://transport.productsup.io/0a1699170f62fce93e57/channel/23713/Bronto-product-feed.txt,196,active,2015-08-05 16:30:14,2017-11-03 14:00:02,disabled,430,408,22,146674,29036,7,0,0,410,7,6
36744,cleo,599,true,delimited,ftps://ftp.bronto.com:4021,3644,active,2016-07-06 15:58:25,2017-11-03 03:00:01,disabled,285,282,3,138122,0,0,0,280,0,4,0
34542,voguewigs,277,true,xml,http://dev.tooflirty.com/feeds/bronto.xml,186,inactive,2015-08-04 21:18:20,2016-02-24 00:33:26,disabled,5,0,5,135000,0,0,0,0,0,0,5
26136,chaparralmotorsports,39,true,delimited,ftp://sales.chaparral-racing.com/bronto/,39,active,2015-06-03 17:39:40,2017-11-02 16:00:03,disabled,897,689,208,129939,61097,3,0,334,529,6,24
38799,fashionnova,1086,false,delimited,null,5045,active,2017-09-01 16:54:40,2017-10-26 19:23:16,disabled,6,2,4,128794,425941,6,0,0,0,0,0
33942,music_arts,23,true,delimited,http://webadapters.channeladvisor.com/CSEAdapter/Default.aspx?pid=TZP_bEdXA8vxFh)%2fS%5bgC1%25QjBwF_%5c%5c%24%60%5bC%5e%22X9EwreZ%5bXKbK.STlrL%3djT%5b%23%5bbE.PQ9wyG_WYP%5e2wdUT9Fv,20,active,2015-03-31 22:52:56,2017-11-03 08:00:02,disabled,884,825,59,116853,413291,0,0,0,881,0,2
38696,sendingteamsite37,1098,false,delimited,null,4986,active,2017-08-15 17:49:03,2017-09-21 02:15:29,disabled,2,1,1,100000,0,2,0,0,0,0,0
37461,sendingteamsite8,1097,false,delimited,null,4032,active,2016-10-11 13:57:08,2017-09-21 02:10:23,disabled,4,3,1,100000,0,4,0,0,0,0,0
8834,aubuchon,298,true,xml,ftps://mft.jaggedpeak.com:22,1131,active,2015-12-17 21:38:17,2017-11-02 16:00:03,disabled,561,4,557,93790,2124,5,0,553,0,2,0
38468,vitalitymedical,941,false,delimited,http://www.vitalitymedical.com/export/bronto_feed.txt,4825,active,2017-06-13 20:39:34,2017-11-02 18:00:02,disabled,134,130,4,93779,633,2,0,0,125,0,7
34794,aubuchonhardwaresandbox,297,false,xml,null,667,active,2015-09-21 18:30:28,2016-03-18 17:41:25,disabled,5,4,1,92168,2386,5,0,0,0,0,0
36839,hottoner,386,true,delimited,http://www.hottoner.com.au/ProductFeedGoogle.txt,3447,active,2016-05-19 05:12:09,2017-11-02 17:00:03,disabled,533,531,2,89068,1438,0,0,0,532,0,1
28854,go2marine,1118,true,delimited,null,609,active,2015-09-11 18:48:42,2017-09-28 21:24:29,disabled,1,1,0,85518,0,1,0,0,0,0,0
38744,picturesongold,1094,true,delimited,null,5055,active,2017-09-05 17:17:48,2017-10-12 15:32:48,disabled,9,1,8,79514,0,9,0,0,0,0,0
32960,tredz,695,true,xml,ftp://185.166.128.66,50,active,2015-06-08 14:45:35,2017-11-03 06:00:02,disabled,269,261,8,78007,36321,4,0,246,0,18,1
27615,windsorstore,384,true,delimited,ftp://ftp-west.marketagility.com/,123,active,2015-07-21 19:09:47,2017-11-02 18:00:02,disabled,519,377,142,75600,8333,6,0,467,0,46,0
35646,jeromesfurniture,227,false,delimited,null,529,active,2015-09-03 15:51:32,2016-03-04 10:50:14,disabled,18,7,11,73334,6469,5,13,0,0,0,0
37981,kaufmann-mercantile,787,true,delimited,null,4453,active,2017-02-14 17:38:42,2017-03-25 17:47:36,disabled,5,5,0,69985,33,5,0,0,0,0,0
37980,ahalife,729,true,delimited,http://api.godatafeed.com/v1/1053947dff63458b97b4aa9b0a30b347/feeds/blFnZWVGa3JZWXNVTlFGRllldkQ3QT09/download,4450,active,2017-02-14 14:21:36,2017-11-03 10:00:02,disabled,266,261,5,68003,17676,2,0,0,261,0,2
31755,lawsonproducts,311,true,delimited,null,452,active,2015-08-27 16:30:47,2016-03-17 13:39:23,disabled,1,1,0,67734,0,1,0,0,0,0,0
38804,golfbox,1113,true,delimited,http://webadapters.channeladvisor.com/CSEAdapter/Default.aspx?pid=TZP%60aJ%5cUA9CvH9Z%60X%5b3t%5eXQjt%7bu_%26Y%261%5bvcX%5b8FGBhU_VK,5049,active,2017-09-05 06:05:39,2017-11-03 14:00:02,disabled,30,30,0,61901,58,0,0,0,25,0,5
16491,tackledirect,4,true,delimited,http://webadapters.channeladvisor.com/CSEAdapter/Default.aspx?pid=XXP%5e%5eF%5cXAkDzr9Z%5bQ%5bcEeVQjIFs_%26%2f%272%5bJ%5cU(%3cwyqd%25%5e%22K0weTVfBH%3d7UYW%5bbt%2f%27Q8uLu_%5c%5b%23g%60v%2fSTnAK,2,active,2015-03-20 21:21:30,2017-11-03 08:00:01,disabled,953,938,15,61893,32543,1,0,0,951,0,0
38050,universitybookstoreinc,979,false,delimited,null,4660,active,2017-04-13 17:19:06,2017-07-21 16:29:48,disabled,2,2,0,60702,0,2,0,0,0,0,0
36413,cykelkraft,257,true,xml,http://www.cykelkraft.se/media/googleshopping_cykelkraft_datafeed.xml,1304,active,2016-02-02 14:40:25,2017-11-03 08:00:02,disabled,640,528,112,60402,15960,0,0,0,637,0,2
