site_id,site_name,transaction_type,start,end,new_product_count,updated_product_count,archived_product_count,failed_product_count,file_name,file_modified_date,transaction_status,transaction_status_modified_date,deleted,user_id,created_date,updated_date,uuid
38612,myunidaysltd,api,2017-11-03 15:06:18,2017-11-03 15:06:20,3,1372,93,0,feed.zip,null,completed,2017-11-03 15:06:20,false,null,2017-11-03 15:06:18,2017-11-03 15:06:20,c6f859aa-c9a5-489c-bc8d-c514340aa684
35294,christopherbankscorporation,automated_ftp,2017-11-03 15:00:03,2017-11-03 15:00:17,5,2001,21,0,CBK_US_ProductFeed.csv.zip,2017-11-03 12:57:00,completed,2017-11-03 15:00:17,false,null,2017-11-03 15:00:03,2017-11-03 15:00:17,ee7e0997-2fe6-4a49-b8af-624d6c896bff
38590,swooneditionssandboxsandbox,automated_http,2017-11-03 15:00:03,2017-11-03 15:00:13,90,340,1,2,Bronto.csv.zip,2017-11-03 14:04:54,completed,2017-11-03 15:00:13,false,null,2017-11-03 15:00:03,2017-11-03 15:00:13,00c4b20d-a33a-4b54-b69f-85d28d9b44e4
36340,herschelus,automated_http,2017-11-03 15:00:03,2017-11-03 15:00:07,0,0,0,0,feed_20171103110003_12024812.txt.zip,null,completed,2017-11-03 15:00:07,false,null,2017-11-03 15:00:03,2017-11-03 15:00:07,01e9b6c0-77e3-4898-b627-66cece2ec63f
37854,lambertvetsupply,automated_http,2017-11-03 15:00:03,2017-11-03 15:00:12,0,92,3,179,go_datafeed.xml.zip,2017-11-03 08:19:12,completed,2017-11-03 15:00:12,false,null,2017-11-03 15:00:03,2017-11-03 15:00:12,22bf7eb4-0433-4b62-a565-99894ac14bce
37985,petsupplies4less,automated_http,2017-11-03 15:00:03,2017-11-03 15:00:12,1,51,1,31,psl_go_datafeed.xml.zip,2017-11-03 09:29:12,completed,2017-11-03 15:00:12,false,null,2017-11-03 15:00:03,2017-11-03 15:00:13,31032da6-179d-4b58-8e25-9d6509c0dae6
38739,cityfurnitureinc,automated_http,2017-11-03 15:00:03,2017-11-03 15:00:12,7,3304,38,0,product_export.xml.zip,2017-11-03 14:45:49,completed,2017-11-03 15:00:12,false,null,2017-11-03 15:00:03,2017-11-03 15:00:12,447817e6-4513-4a97-aa69-280a4d3ab35b
35063,carrollrichardsonflagworld,automated_http,2017-11-03 15:00:03,2017-11-03 15:00:16,0,0,0,0,google-shopping-1.xml.zip,2017-11-03 12:00:24,completed,2017-11-03 15:00:16,false,null,2017-11-03 15:00:03,2017-11-03 15:00:16,8187c14b-0cd2-41c4-95f8-b9121aa54d90
35668,independenceaustralia,automated_http,2017-11-03 15:00:03,2017-11-03 15:00:17,0,0,0,0,google_shopping.xml.zip,2017-10-30 13:08:13,failed,2017-11-03 15:00:17,false,null,2017-11-03 15:00:03,2017-11-03 15:00:17,9527a7a0-49ab-46b8-a12a-70f4e807f389
35694,manfrotto_it,automated_http,2017-11-03 15:00:03,2017-11-03 15:00:12,0,21,0,0,bronto/products_store_it.csv.zip,null,completed,2017-11-03 15:00:12,false,null,2017-11-03 15:00:03,2017-11-03 15:00:12,a9cc1fba-7d5e-4139-b9f6-87533fd04e37
