site_id,site_name,feed_id,notification_enabled,feed_type,feed_url,catalog_id,catalog_status,catalog_created_date,last_run,catalog_connector_status,total,successful,failed,active_prod,arch_prod,manual_file_count,api_count,automated_ftp_count,automated_http_count,manual_ftp_count,manual_http_count
2,brontoapp,7,false,delimited,null,7,active,2015-10-01 13:15:53,2015-10-06 17:05:29,disabled,3,1,2,8729,1,3,0,0,0,0,0
200,ms-performance-test,5026,false,delimited,null,11275,inactive,2017-03-01 11:53:04,2017-03-02 15:25:46,disabled,5,1,4,1,0,2,0,0,0,3,0
300,null,5012,false,delimited,null,11233,active,2016-10-12 11:18:00,2016-10-12 11:21:48,disabled,1,1,0,20,0,1,0,0,0,0,0
302,null,5015,false,delimited,null,11238,active,2016-10-21 14:11:12,2016-10-21 14:18:20,disabled,1,1,0,49999,0,1,0,0,0,0,0
700,null,14,false,delimited,null,272,active,2015-10-20 10:12:31,2015-10-20 12:17:44,disabled,1,1,0,104469,0,1,0,0,0,0,0
701,null,15,false,delimited,null,273,active,2015-10-20 10:12:52,2015-10-20 12:50:07,disabled,2,1,1,696630,0,2,0,0,0,0,0
702,null,17,false,delimited,null,281,active,2015-10-21 09:29:53,2015-10-21 09:33:50,disabled,1,1,0,696630,0,1,0,0,0,0,0
1000,null,4931,false,delimited,ftp://50.17.199.119/ms_test,11077,active,2016-08-10 09:33:15,2017-11-07 04:00:00,disabled,458,455,1,500000,10,3,0,449,0,0,0
16491,tackledirect,4922,true,delimited,null,11069,active,2016-07-27 08:49:49,2016-07-27 09:36:36,disabled,1,1,0,67664,0,1,0,0,0,0,0
28509,brontoqa_jason,4565,false,delimited,http://jasonmalone.com,10,active,2015-10-01 15:08:50,2017-11-07 05:00:00,disabled,552,1,549,11,0,3,0,0,548,0,0
29437,christine_staging,4911,true,xml,http://bronto.com,11029,active,2016-03-14 18:50:01,2017-11-07 06:00:00,disabled,94,46,48,1,234,59,0,0,35,0,0
29845,smallflower,4925,true,xml,null,11072,active,2016-07-27 08:51:29,2016-07-27 09:41:22,disabled,1,1,0,20245,0,1,0,0,0,0,0
32847,onlinemetals,4926,true,xml,null,11073,active,2016-07-27 08:52:02,2016-07-27 09:49:36,disabled,1,1,0,54571,0,1,0,0,0,0,0
33738,wwbw,4924,true,delimited,null,11071,active,2016-07-27 08:50:56,2016-07-27 09:37:38,disabled,1,1,0,65921,0,1,0,0,0,0,0
33942,music_arts,4923,true,delimited,null,11070,active,2016-07-27 08:50:26,2016-07-27 09:37:09,disabled,1,1,0,55849,0,1,0,0,0,0,0
34777,musicshopeurope_staging,4916,true,delimited,null,11063,active,2016-07-26 08:40:30,2016-07-26 10:07:46,disabled,1,1,0,539410,0,1,0,0,0,0,0
34778,hlmgbdealers,4917,true,delimited,null,11064,active,2016-07-26 08:50:18,2016-07-26 10:19:30,disabled,1,1,0,539410,0,1,0,0,0,0,0
34987,bygghemma,4920,false,xml,null,11067,active,2016-07-26 08:53:01,2016-07-26 10:59:42,disabled,1,1,0,250765,0,1,0,0,0,0,0
224586,jonathan_kremer_staging,4910,false,delimited,null,11053,active,2016-06-07 09:43:32,2016-06-07 10:06:54,disabled,1,1,0,9,0,1,0,0,0,0,0
252934,scastaging,18,true,delimited,ftp://jasonmalone.com,34,active,2015-10-02 20:36:32,2017-11-07 15:00:00,disabled,806,15,790,12,1,19,0,742,0,1,0
252939,joanntestaccount,574,true,delimited,null,1332,active,2015-11-04 16:51:17,2016-11-03 14:46:45,disabled,11,2,9,115,4,11,0,0,0,0,0
252991,zalimeni01,5082,false,delimited,null,11245,active,2016-12-15 20:48:33,2017-09-29 14:00:15,disabled,2,2,0,1,0,2,0,0,0,0,0
253012,brobot27,6,false,delimited,null,35,active,2015-10-03 00:56:10,2017-07-25 00:15:06,disabled,259,245,12,1,548,259,0,0,0,0,0
253013,brobot28,5007,false,delimited,null,11225,active,2016-08-31 04:30:15,2017-11-06 23:10:35,disabled,287,268,19,19,520,287,0,0,0,0,0
253014,brobot29,321,false,delimited,null,933,active,2015-10-30 03:21:33,2017-11-04 23:05:16,disabled,596,571,21,10,1505,596,0,0,0,0,0
253018,brobot31,4909,false,delimited,null,11024,active,2016-03-08 23:25:05,2017-11-04 23:33:59,disabled,388,360,23,1,1235,386,0,2,0,0,0
253019,brobot32,4908,false,delimited,null,11025,active,2016-03-09 00:21:34,2017-11-01 22:51:42,disabled,568,537,31,10,1322,568,0,0,0,0,0
253025,brobot,4889,false,delimited,null,3285,active,2015-12-08 16:32:31,2017-07-13 18:12:36,disabled,539,517,16,19,510,539,0,0,0,0,0
253026,paulssite,4,false,delimited,null,28,active,2015-10-02 15:32:13,2017-06-14 13:04:52,disabled,508,181,326,19,61518,23,0,315,124,0,2
253027,slavkobodvanski,8,false,delimited,null,167,active,2015-10-07 11:47:55,2017-06-02 06:09:17,disabled,13,12,1,100000,8795,13,0,0,0,0,0
253028,milenkosupic,1,false,delimited,null,6,active,2015-10-01 09:56:56,2017-08-31 12:14:45,disabled,68,40,25,100000,0,42,3,0,19,0,4
253029,radovanradic,9,true,delimited,null,166,active,2015-10-07 11:41:38,2017-01-23 14:50:49,disabled,36,25,11,43,54,36,0,0,0,0,0
253032,mikegottlibe,636,true,delimited,ftp://ftp.bronto.com,1525,active,2015-11-23 20:34:51,2017-11-07 16:00:00,disabled,382,29,353,124,1,35,0,345,0,1,0
253033,mistipinter,4397,false,xml,null,1494,active,2015-11-23 15:06:00,2016-01-04 04:58:54,disabled,1,1,0,9,0,1,0,0,0,0,0
253040,dantherrienaccount2,47,false,delimited,null,429,active,2015-10-27 14:55:08,2017-07-24 15:22:37,disabled,21,11,6,8773,2525,21,0,0,0,0,0
253060,blobfish,5006,true,delimited,null,11022,active,2016-03-08 17:54:10,2016-08-24 17:16:38,disabled,2,1,1,51,0,2,0,0,0,0,0
253067,brobot33,4905,false,delimited,null,11030,active,2016-03-15 03:23:10,2017-06-07 00:16:34,disabled,244,232,7,19,580,244,0,0,0,0,0
253068,brobot34,4907,false,delimited,null,11041,active,2016-04-04 02:15:15,2017-11-06 00:24:58,disabled,424,394,26,19,953,424,0,0,0,0,0
253069,brobot35,4914,false,delimited,null,11044,active,2016-04-11 02:41:37,2017-11-06 23:12:50,disabled,453,425,24,19,826,453,0,0,0,0,0
253070,brobot36,4915,false,delimited,null,11048,active,2016-04-21 22:26:28,2017-11-06 23:45:03,disabled,430,390,35,10,660,430,0,0,0,0,0
253071,brobot37,4906,false,delimited,null,11049,active,2016-04-25 14:23:18,2017-11-07 00:12:05,disabled,364,329,25,61,626,364,0,0,0,0,0
253079,lauren,16,true,delimited,ftp://speedtest.tele2.net,274,active,2015-10-20 14:08:29,2017-11-07 09:00:00,disabled,598,123,472,19,0,50,1,346,195,4,0
253087,laurenqa123,4893,true,delimited,http://recommendations-stg-001.brontolabs.local:8000,11017,active,2016-02-03 15:39:44,2017-11-06 21:00:00,disabled,512,129,380,1657,102,148,0,0,353,0,7
253091,junedunman,833,true,delimited,null,8,active,2015-10-01 13:35:15,2016-09-09 21:56:09,disabled,10,3,7,0,115,10,0,0,0,0,0
253102,luis_qa,1353,true,delimited,null,3301,active,2015-12-09 15:20:40,2017-09-18 18:39:41,disabled,28,18,10,2,50,28,0,0,0,0,0
253136,laurencatalog1253136,4929,false,delimited,null,11037,active,2016-03-29 16:37:14,2016-08-09 14:22:32,disabled,1,1,0,3,0,1,0,0,0,0,0
253145,laurennewsite253145,4904,false,delimited,null,11042,active,2016-04-05 18:53:34,2016-04-05 19:27:08,disabled,2,2,0,84,0,2,0,0,0,0,0
253181,laurencabtesting253181,4912,false,delimited,null,11056,active,2016-06-16 15:42:16,2016-06-16 20:43:27,disabled,13,10,3,84,0,13,0,0,0,0,0
253194,products001,4927,true,delimited,null,11074,active,2016-08-03 17:41:46,2016-08-17 10:30:58,disabled,2,2,0,67649,15,2,0,0,0,0,0
253195,products002,4928,true,xml,null,11075,active,2016-08-04 09:06:48,2016-08-04 09:10:24,disabled,1,1,0,20245,0,1,0,0,0,0,0
253197,laurencabbing,4930,true,delimited,null,11076,active,2016-08-09 17:45:24,2017-04-18 20:26:14,disabled,10,7,3,118,73,10,0,0,0,0,0
253218,junebmp2237hotfix,5023,false,delimited,null,11271,active,2017-02-15 16:48:49,2017-02-15 17:03:01,disabled,1,1,0,116,0,1,0,0,0,0,0
253234,lucasqa,5011,true,delimited,null,11231,active,2016-10-05 17:58:23,2016-10-24 17:37:29,disabled,3,2,1,51,0,3,0,0,0,0,0
253236,danielchiavaroli,5013,false,delimited,null,11234,active,2016-10-18 14:50:43,2017-09-13 19:24:51,disabled,15,2,13,118,71,15,0,0,0,0,0
253237,laurencatalog,5014,false,delimited,null,11235,active,2016-10-18 16:15:03,2017-10-18 17:17:07,disabled,7,1,6,84,0,7,0,0,0,0,0
253238,brobot38,5016,false,delimited,null,11236,active,2016-10-18 19:13:05,2017-01-19 03:21:52,disabled,22,22,0,61,110,22,0,0,0,0,0
253299,cabtestinglauren,5017,false,delimited,null,11250,active,2017-01-18 21:33:40,2017-01-20 16:29:28,disabled,3,3,0,19,116,3,0,0,0,0,0
253307,brobot203,5019,false,delimited,null,11264,active,2017-01-31 22:27:28,2017-01-31 22:49:52,disabled,1,1,0,61,0,1,0,0,0,0,0
253311,brobot206,5020,false,delimited,null,11259,active,2017-01-31 21:30:13,2017-01-31 23:10:30,disabled,1,1,0,10,0,1,0,0,0,0,0
253315,fedstaging,5018,false,delimited,null,11253,active,2017-01-25 18:49:59,2017-01-26 15:04:43,disabled,1,1,0,116,0,1,0,0,0,0,0
253318,brobot100,5030,false,delimited,null,11265,active,2017-02-01 20:37:08,2017-11-07 00:12:44,disabled,287,261,26,1,428,287,0,0,0,0,0
253319,brobot101,5032,false,delimited,null,11281,active,2017-03-04 01:13:48,2017-11-07 00:23:44,disabled,254,235,19,1,509,254,0,0,0,0,0
253320,brobot102,5031,false,delimited,null,11280,active,2017-03-04 01:04:07,2017-11-01 22:39:17,disabled,238,223,15,19,403,238,0,0,0,0,0
253321,brobot103,5028,false,delimited,null,11282,active,2017-03-04 02:11:00,2017-11-04 23:21:41,disabled,229,210,19,19,433,229,0,0,0,0,0
253322,brobot104,5035,false,delimited,null,11278,active,2017-03-04 01:03:28,2017-11-05 03:33:39,disabled,216,198,18,19,302,216,0,0,0,0,0
253323,brobot105,5033,false,delimited,null,11279,active,2017-03-04 01:03:35,2017-11-03 23:02:28,disabled,242,231,11,19,302,242,0,0,0,0,0
253330,brobot106,5036,false,delimited,null,11285,active,2017-03-06 02:04:43,2017-11-06 23:28:24,disabled,253,228,25,19,367,253,0,0,0,0,0
253331,brobot107,5037,false,xml,null,11293,active,2017-03-07 17:33:42,2017-10-28 23:25:49,disabled,187,178,9,61,250,187,0,0,0,0,0
253332,brobot108,5029,false,delimited,null,11283,active,2017-03-06 01:03:09,2017-11-06 23:27:04,disabled,174,161,12,19,253,174,0,0,0,0,0
253333,brobot109,5034,false,delimited,null,11284,active,2017-03-06 01:26:51,2017-11-06 23:22:54,disabled,192,183,8,19,323,192,0,0,0,0,0
253334,brobot110,5038,false,delimited,null,11292,active,2017-03-07 17:11:30,2017-11-03 23:34:12,disabled,160,147,13,1,284,160,0,0,0,0,0
253336,magento2dot0,5022,true,delimited,null,11266,active,2017-02-06 20:56:10,2017-07-25 15:29:21,enabled,3,2,1,2045,4,3,0,0,0,0,0
253358,magento2dot1,5025,false,delimited,null,11274,active,2017-02-27 17:52:45,2017-11-06 17:00:01,enabled,3,3,0,2076,10,3,0,0,0,0,0
253365,deletemesoon,5027,false,delimited,null,11277,inactive,2017-03-02 15:48:19,2017-03-02 15:51:58,disabled,2,0,2,0,0,2,0,0,0,0,0
253420,brobot400,5039,false,delimited,null,11296,active,2017-03-10 16:20:56,2017-09-12 13:14:39,disabled,100,97,3,19,148,100,0,0,0,0,0
253421,brobot401,5040,false,delimited,null,11297,active,2017-03-13 16:56:38,2017-09-12 13:30:38,disabled,74,71,3,19,171,74,0,0,0,0,0
253422,brobot402,5041,false,delimited,null,11301,active,2017-03-13 18:12:58,2017-09-12 13:15:09,disabled,67,63,3,19,150,67,0,0,0,0,0
253423,brobot403,5042,false,delimited,null,11302,active,2017-03-13 18:13:36,2017-09-12 13:52:21,disabled,50,44,6,19,130,50,0,0,0,0,0
253424,brobot404,5043,false,delimited,null,11303,active,2017-03-13 18:14:09,2017-09-12 12:53:35,disabled,77,72,5,19,150,77,0,0,0,0,0
253425,brobot405,5044,false,delimited,null,11304,active,2017-03-13 18:14:50,2017-09-12 13:18:45,disabled,88,72,15,19,151,88,0,0,0,0,0
253426,brobot406,5045,false,delimited,null,11305,active,2017-03-13 18:18:42,2017-09-12 13:44:31,disabled,57,52,5,19,119,57,0,0,0,0,0
253427,brobot407,5046,false,delimited,null,11306,active,2017-03-13 18:20:39,2017-09-12 13:35:55,disabled,61,53,8,19,170,61,0,0,0,0,0
253428,brobot408,5047,false,delimited,null,11307,active,2017-03-13 18:21:07,2017-09-12 13:32:31,disabled,56,53,2,19,122,56,0,0,0,0,0
253429,brobot409,5048,false,delimited,null,11295,active,2017-03-09 19:41:16,2017-09-12 13:21:15,disabled,64,61,3,19,128,64,0,0,0,0,0
253436,brobot300,5049,false,delimited,null,11308,active,2017-03-17 15:05:41,2017-03-17 15:53:32,disabled,2,1,1,1,0,2,0,0,0,0,0
253437,brobot301,5050,false,delimited,null,11309,active,2017-03-17 20:09:27,2017-03-17 20:40:00,disabled,4,4,0,1,3,4,0,0,0,0,0
253438,brobot302,5051,false,delimited,null,11310,active,2017-03-17 20:58:10,2017-03-17 20:58:29,disabled,1,1,0,1,0,1,0,0,0,0,0
253441,brobot305,5052,false,delimited,null,11311,active,2017-03-20 19:54:31,2017-03-20 20:52:13,disabled,3,3,0,1,2,3,0,0,0,0,0
253442,brobot306,5053,false,delimited,null,11312,active,2017-03-20 21:02:26,2017-03-20 21:19:03,disabled,1,1,0,1,0,1,0,0,0,0,0
253443,brobot307,5054,false,delimited,null,11313,active,2017-03-20 21:24:09,2017-03-20 21:24:36,disabled,1,1,0,1,0,1,0,0,0,0,0
253444,brobot308,5055,false,delimited,null,11314,active,2017-03-21 14:26:58,2017-03-21 14:27:19,disabled,1,1,0,1,0,1,0,0,0,0,0
253445,joshhandest,5057,false,delimited,https://drive.google.com/file/d/0B5_HnXkJoddHazBWc0NVWDlQX1U/view,11316,active,2017-03-23 18:41:54,2017-11-06 19:00:00,disabled,181,11,170,84,0,13,0,0,168,0,0
253465,cabstandard,5060,false,delimited,null,11324,active,2017-05-25 17:24:14,2017-06-20 18:36:30,disabled,7,6,1,98,36,7,0,0,0,0,0
253476,rushishah,5069,false,delimited,null,11340,active,2017-08-31 20:08:52,2017-09-01 18:00:57,disabled,3,3,0,84,0,3,0,0,0,0,0
253478,nssectest,5062,false,xml,null,11326,inactive,2017-06-22 03:23:51,2017-06-23 06:02:58,disabled,2,0,2,0,0,2,0,0,0,0,0
253484,chiquito,5065,false,delimited,null,11331,active,2017-07-24 18:41:19,2017-10-06 19:19:51,disabled,34,34,0,10,50,34,0,0,0,0,0
253491,scruggs1,5066,false,delimited,null,11332,active,2017-08-01 12:42:48,2017-09-22 12:41:33,disabled,3,2,1,100000,2,3,0,0,0,0,0
253492,ftpproductstest,5067,false,delimited,ftp://speedtest.tele2.net,11333,inactive,2017-08-01 20:56:56,2017-08-01 20:59:27,disabled,1,0,1,0,0,0,0,0,0,1,0
253499,gottliebtestsite,5068,false,delimited,null,11339,active,2017-08-28 17:56:38,2017-08-28 17:58:21,disabled,1,1,0,124,0,1,0,0,0,0,0
253504,brobot4001,5073,false,delimited,null,11344,active,2017-09-11 19:54:04,2017-11-04 22:48:33,disabled,61,59,2,19,95,61,0,0,0,0,0
253505,brobot4002,5074,false,delimited,null,11345,active,2017-09-12 14:06:39,2017-11-07 00:08:43,disabled,61,60,1,19,113,61,0,0,0,0,0
253506,brobot4003,5075,false,delimited,null,11346,active,2017-09-12 14:18:12,2017-11-06 05:20:30,disabled,46,44,2,1,125,46,0,0,0,0,0
253507,brobot4004,5076,false,delimited,null,11347,active,2017-09-12 14:32:46,2017-11-06 23:37:48,disabled,68,66,2,19,142,68,0,0,0,0,0
253509,brobot4005,5077,false,delimited,null,11348,active,2017-09-12 14:38:58,2017-11-06 23:13:10,disabled,69,67,2,10,146,69,0,0,0,0,0
253510,brobot4006,5078,false,delimited,null,11349,active,2017-09-12 14:50:19,2017-11-06 02:21:41,disabled,57,55,2,19,142,57,0,0,0,0,0
253511,brobot4007,5079,false,delimited,null,11350,active,2017-09-12 15:05:35,2017-11-06 23:43:43,disabled,79,77,2,19,119,79,0,0,0,0,0
253512,brobot4008,5081,false,delimited,null,11352,active,2017-09-14 15:42:09,2017-11-06 23:12:10,disabled,73,71,2,19,144,73,0,0,0,0,0
253513,brobot4009,5080,false,delimited,null,11351,active,2017-09-12 15:29:16,2017-11-06 00:17:46,disabled,63,57,6,19,169,63,0,0,0,0,0
253532,davidwildertesting,5083,false,delimited,null,11353,active,2017-09-18 17:17:49,2017-10-11 18:00:00,disabled,21,8,13,42,42,18,0,1,2,0,0
253549,timoempire,5087,false,delimited,null,11369,active,2017-10-04 19:47:27,2017-11-02 16:35:01,disabled,21,13,8,84,79,21,0,0,0,0,0
253552,recspremium,5084,false,delimited,null,11370,active,2017-10-06 17:28:56,2017-10-06 17:33:50,disabled,1,1,0,84,0,1,0,0,0,0,0
253553,newrecsstandard,5085,false,delimited,null,11371,active,2017-10-06 19:21:54,2017-10-06 19:24:27,disabled,1,1,0,84,0,1,0,0,0,0,0
253554,newnewrecsstandard,5086,false,delimited,null,11372,active,2017-10-09 14:45:08,2017-10-09 14:53:27,disabled,1,1,0,84,0,1,0,0,0,0,0
253558,craig_testing,5088,true,delimited,null,11373,active,2017-10-10 20:39:27,2017-10-12 14:39:24,disabled,2,1,1,84,0,2,0,0,0,0,0
253581,cab20171103,5090,false,delimited,null,11379,active,2017-11-03 14:37:10,2017-11-03 14:49:44,disabled,3,2,1,42,42,3,0,0,0,0,0
